label	weight_bm25	weight_rm3	weight_dense	rrf_k	bm25_topk	rm3_topk	dense_topk	map	Rprec	P_10	bpref	recip_rank
b0.30-r0.20-d0.50	0.30	0.20	0.50	60	250	250	250	0.2625	0.2994	0.5100	0.3460	0.7550
b0.10-r0.85-d0.05	0.10	0.85	0.05	60	250	250	250	0.2623	0.2984	0.4480	0.3307	0.6901
b0.75-r0.05-d0.20	0.75	0.05	0.20	60	250	250	250	0.2623	0.2935	0.4440	0.3312	0.7277
b0.70-r0.15-d0.15	0.70	0.15	0.15	60	250	250	250	0.2622	0.2925	0.4400	0.3296	0.7471
b0.35-r0.15-d0.50	0.35	0.15	0.50	60	250	250	250	0.2619	0.2989	0.5040	0.3457	0.7552
b0.15-r0.80-d0.05	0.15	0.80	0.05	60	250	250	250	0.2618	0.2969	0.4440	0.3302	0.6901
b0.55-r0.35-d0.10	0.55	0.35	0.10	60	250	250	250	0.2618	0.2920	0.4460	0.3287	0.6954
b0.40-r0.10-d0.50	0.40	0.10	0.50	60	250	250	250	0.2615	0.3002	0.5020	0.3458	0.7519
b0.20-r0.75-d0.05	0.20	0.75	0.05	60	250	250	250	0.2614	0.2951	0.4460	0.3298	0.6885
b0.60-r0.30-d0.10	0.60	0.30	0.10	60	250	250	250	0.2614	0.2919	0.4440	0.3284	0.6932
b0.45-r0.05-d0.50	0.45	0.05	0.50	60	250	250	250	0.2611	0.3001	0.4960	0.3460	0.7552
b0.25-r0.70-d0.05	0.25	0.70	0.05	60	250	250	250	0.2610	0.2948	0.4460	0.3292	0.6889
b0.75-r0.10-d0.15	0.75	0.10	0.15	60	250	250	250	0.2610	0.2909	0.4400	0.3287	0.7472
b0.30-r0.65-d0.05	0.30	0.65	0.05	60	250	250	250	0.2606	0.2933	0.4440	0.3292	0.6868
b0.65-r0.25-d0.10	0.65	0.25	0.10	60	250	250	250	0.2606	0.2903	0.4420	0.3279	0.6915
b0.35-r0.60-d0.05	0.35	0.60	0.05	60	250	250	250	0.2599	0.2933	0.4440	0.3285	0.6876
b0.80-r0.05-d0.15	0.80	0.05	0.15	60	250	250	250	0.2597	0.2896	0.4380	0.3280	0.7370
b0.70-r0.20-d0.10	0.70	0.20	0.10	60	250	250	250	0.2597	0.2888	0.4420	0.3271	0.6916
b0.40-r0.55-d0.05	0.40	0.55	0.05	60	250	250	250	0.2595	0.2927	0.4380	0.3282	0.6855
b0.45-r0.50-d0.05	0.45	0.50	0.05	60	250	250	250	0.2588	0.2918	0.4340	0.3277	0.6872
b0.75-r0.15-d0.10	0.75	0.15	0.10	60	250	250	250	0.2581	0.2885	0.4380	0.3264	0.6915
b0.50-r0.45-d0.05	0.50	0.45	0.05	60	250	250	250	0.2580	0.2906	0.4380	0.3269	0.6889
b0.80-r0.10-d0.10	0.80	0.10	0.10	60	250	250	250	0.2572	0.2881	0.4400	0.3258	0.6915
b0.55-r0.40-d0.05	0.55	0.40	0.05	60	250	250	250	0.2570	0.2887	0.4400	0.3261	0.6873
b0.05-r0.40-d0.55	0.05	0.40	0.55	60	250	250	250	0.2568	0.2986	0.5040	0.3470	0.7618
b0.10-r0.35-d0.55	0.10	0.35	0.55	60	250	250	250	0.2564	0.2977	0.5020	0.3469	0.7602
b0.60-r0.35-d0.05	0.60	0.35	0.05	60	250	250	250	0.2563	0.2866	0.4400	0.3251	0.6873
b0.15-r0.30-d0.55	0.15	0.30	0.55	60	250	250	250	0.2560	0.2974	0.5000	0.3463	0.7604
b0.85-r0.05-d0.10	0.85	0.05	0.10	60	250	250	250	0.2558	0.2862	0.4360	0.3254	0.6761
b0.65-r0.30-d0.05	0.65	0.30	0.05	60	250	250	250	0.2557	0.2860	0.4400	0.3245	0.6880
b0.20-r0.25-d0.55	0.20	0.25	0.55	60	250	250	250	0.2555	0.2969	0.4980	0.3459	0.7605
b0.25-r0.20-d0.55	0.25	0.20	0.55	60	250	250	250	0.2550	0.2963	0.4960	0.3457	0.7626
b0.70-r0.25-d0.05	0.70	0.25	0.05	60	250	250	250	0.2545	0.2847	0.4380	0.3237	0.6880
